solr-1.node,1.1.1.1:8983_solr
coll1_shard1_replica2,15.0M,12.0GB
coll2_shard1_replica1,1.8M,1.4GB
coll3_shard1_0_replica1,12.0M,9.2GB
coll3_shard1_1_replica1,11.9M,8.8GB
coll4_shard1_replica1,2.0M,1.4GB
coll5_shard1_replica1,5.0M,3.4GB
coll6_shard1_replica1,4.4M,3.4GB
coll7_shard1_replica1,12.8M,9.5GB
coll8_shard1_0_replica2,10.4M,6.2GB
coll9_shard1_replica1,11.3M,8.0GB
collA_shard1_replica1,5.2M,2.8GB
collB_shard1_replica2,12.7M,7.5GB
collC_shard1_replica2,218K,2.5GB
collD_shard1_0_0_0_replica1,14.3M,10.2GB
collD_shard1_0_0_1_replica1,14.2M,10.3GB
collD_shard1_0_1_0_replica1,14.1M,10.2GB
collD_shard1_0_1_1_replica1,14.1M,10.2GB
collD_shard1_1_0_0_replica1,13.9M,10.0GB
collD_shard1_1_0_1_replica1,14.3M,10.3GB
collD_shard1_1_1_0_replica1,14.0M,10.1GB
collD_shard1_1_1_1_replica1,14.1M,10.2GB
collE_shard1_0_0_0_replica2,4.4M,2.7GB
collE_shard1_0_0_1_replica2,4.5M,2.7GB
collF_shard1_0_0_replica1,12.9M,7.0GB
collF_shard1_0_1_replica1,12.9M,6.9GB
coll10_shard1_replica2,3.4M,1.6GB
coll11_shard1_replica2,10.1M,6.3GB
coll12_shard1_0_replica1,17.3M,11.0GB
coll12_shard1_1_replica1,17.4M,10.9GB
coll13_shard1_0_0_0_replica2,14.3M,5.8GB
coll14_shard1_replica2,10.7M,7.7GB
coll15_shard1_0_0_0_0_0_replica1,5.5M,4.9GB
coll15_shard1_0_0_0_0_1_replica1,5.2M,6.9GB
coll15_shard1_0_0_0_1_0_replica1,5.6M,7.2GB
coll15_shard1_0_0_0_1_1_replica1,5.6M,6.8GB
coll16_shard1_0_0_replica1,1.3M,2.0GB
coll16_shard1_0_1_replica1,1.3M,2.1GB
coll17_shard1_0_0_0_replica1,8.0M,4.9GB
coll17_shard1_0_0_1_replica1,8.0M,4.9GB
coll18_shard1_replica1,4.7M,2.7GB
coll19_shard1_0_0_0_replica1,10.5M,5.7GB
coll19_shard1_0_0_1_replica1,9.4M,5.2GB
coll19_shard1_0_1_0_replica1,9.1M,7.4GB
coll19_shard1_0_1_1_replica1,9.5M,5.2GB
coll1A_shard1_0_replica1,7.8M,7.9GB
coll1A_shard1_1_replica1,8.1M,5.5GB
coll1B_shard1_replica1,2.8M,1.6GB
coll1C_shard1_replica1,2.4M,2.1GB
coll1D_shard1_replica1,5.8M,4.2GB
coll1E_shard1_0_0_replica1,13.1M,11.5GB
coll1E_shard1_0_1_replica1,11.9M,8.5GB
coll1E_shard1_1_0_replica1,11.2M,8.8GB
coll1E_shard1_1_1_replica1,12.6M,11.0GB
